MFACTOR|MFACTORNAME|ST_CASE|VEH_NO|STATE|YEAR|VEHICLECC
0|None|480382|1|48|2017|
0|None|480382|2|48|2017|
0|None|480383|1|48|2017|
0|None|480383|2|48|2017|
0|None|480384|1|48|2017|
0|None|480385|1|48|2017|
0|None|480386|1|48|2017|
0|None|480387|1|48|2017|
0|None|480387|2|48|2017|
0|None|480388|1|48|2017|
0|None|480389|1|48|2017|
0|None|480390|1|48|2017|
0|None|480391|1|48|2017|
0|None|480392|1|48|2017|
0|None|480393|1|48|2017|
0|None|480394|1|48|2017|
0|None|480394|2|48|2017|
0|None|480396|1|48|2017|
0|None|480396|2|48|2017|
0|None|480397|1|48|2017|
0|None|480398|1|48|2017|
0|None|480398|2|48|2017|
0|None|480399|1|48|2017|
0|None|480399|2|48|2017|
0|None|480400|1|48|2017|
0|None|480401|1|48|2017|
0|None|480401|2|48|2017|
0|None|480402|1|48|2017|
0|None|480403|1|48|2017|
0|None|480403|2|48|2017|
0|None|480404|1|48|2017|
0|None|480404|2|48|2017|
0|None|480405|1|48|2017|
0|None|480405|2|48|2017|
0|None|480406|1|48|2017|
0|None|480406|2|48|2017|
0|None|480407|1|48|2017|
0|None|480407|2|48|2017|
0|None|480408|1|48|2017|
0|None|480409|1|48|2017|
0|None|480409|2|48|2017|
0|None|480409|3|48|2017|
0|None|480410|1|48|2017|
0|None|480410|2|48|2017|
0|None|480411|1|48|2017|
0|None|480411|2|48|2017|
0|None|480412|1|48|2017|
0|None|480412|2|48|2017|
0|None|480413|1|48|2017|
0|None|480414|1|48|2017|
0|None|480414|2|48|2017|
0|None|480415|1|48|2017|
0|None|480416|1|48|2017|
0|None|480417|1|48|2017|
0|None|480417|2|48|2017|
0|None|480418|1|48|2017|
0|None|480419|1|48|2017|
99|Unknown|480420|1|48|2017|
0|None|480421|1|48|2017|
0|None|480421|2|48|2017|
0|None|480422|1|48|2017|
0|None|480423|1|48|2017|
0|None|480423|2|48|2017|
0|None|480424|1|48|2017|
0|None|480425|1|48|2017|
0|None|480425|2|48|2017|
0|None|480426|1|48|2017|
0|None|480427|1|48|2017|
0|None|480428|1|48|2017|
0|None|480428|2|48|2017|
0|None|480429|1|48|2017|
0|None|480430|1|48|2017|
0|None|480430|2|48|2017|
0|None|480431|1|48|2017|
0|None|480432|1|48|2017|
0|None|480432|2|48|2017|
0|None|480433|1|48|2017|
0|None|480434|1|48|2017|
0|None|480435|1|48|2017|
0|None|480436|1|48|2017|
0|None|480437|1|48|2017|
0|None|480437|2|48|2017|
0|None|480438|1|48|2017|
0|None|480439|1|48|2017|
0|None|480439|2|48|2017|
0|None|480440|1|48|2017|
0|None|480441|1|48|2017|
0|None|480441|2|48|2017|
0|None|480442|1|48|2017|
0|None|480443|1|48|2017|
0|None|480444|1|48|2017|
0|None|480445|1|48|2017|
0|None|480445|2|48|2017|
0|None|480446|1|48|2017|
0|None|480446|2|48|2017|
0|None|480447|1|48|2017|
0|None|480447|2|48|2017|
0|None|480448|1|48|2017|
0|None|480448|2|48|2017|
0|None|480449|1|48|2017|
0|None|480449|2|48|2017|
99|Unknown|480450|1|48|2017|
0|None|480451|1|48|2017|
0|None|480452|1|48|2017|
0|None|480452|2|48|2017|
0|None|480453|1|48|2017|
0|None|480455|1|48|2017|
0|None|480456|1|48|2017|
0|None|480457|1|48|2017|
0|None|480458|1|48|2017|
0|None|480459|1|48|2017|
0|None|480459|2|48|2017|
0|None|480460|1|48|2017|
0|None|480461|1|48|2017|
0|None|480462|1|48|2017|
0|None|480462|2|48|2017|
0|None|480462|3|48|2017|
0|None|480463|1|48|2017|
0|None|480463|2|48|2017|
0|None|480464|1|48|2017|
0|None|480464|2|48|2017|
0|None|480465|1|48|2017|
0|None|480465|2|48|2017|
2|Brake System|480466|1|48|2017|
0|None|480467|1|48|2017|
0|None|480468|1|48|2017|
0|None|480468|2|48|2017|
0|None|480468|3|48|2017|
0|None|480470|1|48|2017|
0|None|480470|2|48|2017|
0|None|480471|1|48|2017|
0|None|480471|2|48|2017|
0|None|480472|1|48|2017|
0|None|480472|2|48|2017|
